,Player,Year,Club
570,Axel Disasi,2022-,France
571,Caio Henrique Oliveira Silva,-2016,Santos FC
572,Caio Henrique Oliveira Silva,2016,Atlético Madrid
573,Caio Henrique Oliveira Silva,2016-2020,Atlético Madrid
574,Caio Henrique Oliveira Silva,2018,Paraná Clube
575,Caio Henrique Oliveira Silva,2019,Fluminense FC
576,Caio Henrique Oliveira Silva,2020,Grêmio
577,Caio Henrique Oliveira Silva,2020-,AS Monaco
578,Caio Henrique Oliveira Silva,2016-2017,Brésil -20 ans
579,Caio Henrique Oliveira Silva,2019-,Brésil olympique
580,Aleksandr Golovin,2012-2014,CSKA Moscou
581,Aleksandr Golovin,2014-2018,CSKA Moscou
582,Aleksandr Golovin,2018-,AS Monaco
583,Aleksandr Golovin,2013,Russie -17 ans
584,Aleksandr Golovin,2014,Russie -19 ans
585,Aleksandr Golovin,2015,Russie espoirs
586,Aleksandr Golovin,2015-,Russie
587,Wissam Ben Yedder,2000-2007,
588,Wissam Ben Yedder,2003-2010,Garges Djibson futsal
589,Wissam Ben Yedder,2007-2009,
590,Wissam Ben Yedder,2009-2010,UJA Alfortville
591,Wissam Ben Yedder,2010-2013,Toulouse FC B
592,Wissam Ben Yedder,2010-2016,Toulouse FC
593,Wissam Ben Yedder,2016-2019,Séville FC
594,Wissam Ben Yedder,2019-,AS Monaco
595,Wissam Ben Yedder,2009,France futsal -21 ans
596,Wissam Ben Yedder,2008-2010,France futsal
597,Wissam Ben Yedder,2012,France espoirs
598,Wissam Ben Yedder,2018-,France
599,Mohamed Camara,2018-2019,FC Liefering
600,Mohamed Camara,2019,TSV Hartberg
601,Mohamed Camara,2019-2022,RB Salzbourg
602,Mohamed Camara,2022-,AS Monaco
603,Mohamed Camara,2017,Mali - 17 ans
604,Mohamed Camara,2019,Mali - 20 ans
605,Mohamed Camara,2019-,Mali
606,Guillermo Maripán,2012-2017,Universidad Católica
607,Guillermo Maripán,2017-2019,Deportivo Alavés
608,Guillermo Maripán,2019-,AS Monaco
609,Guillermo Maripán,2017-,Chili
610,Krépin Diatta,2016-2017,Oslo FA Dakar
611,Krépin Diatta,2017-2018,Sarpsborg 08 FF
612,Krépin Diatta,2018-2021,Club Bruges
613,Krépin Diatta,2021-,AS Monaco
614,Krépin Diatta,2017-2018,Sénégal -20 ans
615,Krépin Diatta,2019-,Sénégal
616,Vanderson,2012-2017,
617,Vanderson,2018,Rio Branco EC
618,Vanderson,2019-2020,Grêmio Porto Alegre
619,Vanderson,2020-2022,Grêmio Porto Alegre
620,Vanderson,2022-,AS Monaco
621,Vanderson,2023-,Brésil
622,Breel Embolo,2006-2008,Nordstern Bâle
623,Breel Embolo,2008-2010,BSC Old Boys
624,Breel Embolo,2010-2014,FC Bâle
625,Breel Embolo,2014-2016,FC Bâle
626,Breel Embolo,2016-2019,Schalke 04
627,Breel Embolo,2019-2022,Borussia M'gladbach
628,Breel Embolo,2022-,AS Monaco
629,Breel Embolo,2012,Suisse -16 ans
630,Breel Embolo,2014-2015,Suisse -20 ans
631,Breel Embolo,2014,Suisse espoirs
632,Breel Embolo,2015-,Suisse
633,Ruben Aguilar,2011-2013,AS Saint-Étienne
634,Ruben Aguilar,2013-2014,Grenoble Foot 38
635,Ruben Aguilar,2014-2017,AJ Auxerre
636,Ruben Aguilar,2017-2019,Montpellier HSC
637,Ruben Aguilar,2019-,AS Monaco
638,Ruben Aguilar,2020,France
639,Eliot Matazo,2018-2020,AS Monaco
640,Eliot Matazo,2020-,AS Monaco
641,Eliot Matazo,2017-2018,Belgique -16 ans
642,Eliot Matazo,2019,Belgique -18 ans
643,Eliot Matazo,2021-,Belgique espoirs
644,Eliesse Ben Seghir,2018-2020,AS Aix-en-Provence
645,Eliesse Ben Seghir,2020-2022,AS Monaco
646,Eliesse Ben Seghir,2022-,AS Monaco
647,Eliesse Ben Seghir,2021,France -17 ans
648,Eliesse Ben Seghir,2022-2023,France -18 ans
649,Eliesse Ben Seghir,2023-,France -19 ans
650,Benoît Badiashile,2007-2008,Limoges FC
651,Benoît Badiashile,2008-2016,
652,Benoît Badiashile,2016-2018,AS Monaco
653,Benoît Badiashile,2018-2023,AS Monaco
654,Benoît Badiashile,2023-,Chelsea FC
655,Benoît Badiashile,2016,France -16 ans
656,Benoît Badiashile,2017-2018,France -17 ans
657,Benoît Badiashile,2018,France -18 ans
658,Benoît Badiashile,2018-2019,France -19 ans
659,Benoît Badiashile,2020-,France espoirs
660,Benoît Badiashile,2022-,France
661,Malang Sarr,2005-2016,OGC Nice
662,Malang Sarr,2016-2020,OGC Nice
663,Malang Sarr,2020-,Chelsea FC
664,Malang Sarr,2020-2021,FC Porto
665,Malang Sarr,2022-2023,AS Monaco
666,Malang Sarr,2014-2015,France -16 ans
667,Malang Sarr,2015-2016,France -17 ans
668,Malang Sarr,2016-2017,France -18 ans
669,Malang Sarr,2017-2018,France -19 ans
670,Malang Sarr,2018,France -20 ans
671,Malang Sarr,2017-2019,France espoirs
672,Takumi Minamino,2015-2020,Red Bull Salzbourg
673,Takumi Minamino,2020-2022,Liverpool FC
674,Takumi Minamino,2021,Southampton FC
675,Takumi Minamino,2022-,AS Monaco
676,Takumi Minamino,2011-2012,Japon -17 ans
677,Takumi Minamino,2015,
678,Takumi Minamino,2016,Japon -23 ans
679,Takumi Minamino,2016,Japon olympique
680,Takumi Minamino,2015-,Japon
681,Kevin Volland,2006-2007,
682,Kevin Volland,2007-2010,1860 Munich
683,Kevin Volland,2010-2012,1860 Munich
684,Kevin Volland,2012-2016,1899 Hoffenheim
685,Kevin Volland,2016-2020,Bayer Leverkusen
686,Kevin Volland,2020-,AS Monaco
687,Kevin Volland,2008-2009,Allemagne -17 ans
688,Kevin Volland,2009-2010,Allemagne -18 ans
689,Kevin Volland,2010-2011,Allemagne -19 ans
690,Kevin Volland,2011,Allemagne -20 ans
691,Kevin Volland,2012-2015,Allemagne espoirs
692,Kevin Volland,2014-,Allemagne
693,Ismail Jakobs,2012-2019,FC Cologne
694,Ismail Jakobs,2019-2021,FC Cologne
695,Ismail Jakobs,2021-,AS Monaco
696,Ismail Jakobs,2020-2021,Allemagne espoirs
697,Ismail Jakobs,2022-,Sénégal
698,Maghnes Akliouche,2017-2021,AS Monaco
699,Maghnes Akliouche,2021-,AS Monaco
700,Gelson Martins,2010-2014,Sporting CP
701,Gelson Martins,2014-2015,Sporting CP B
702,Gelson Martins,2015-2018,Sporting CP
703,Gelson Martins,2018-2019,Atlético Madrid
704,Gelson Martins,2019-,AS Monaco
705,Gelson Martins,2012-2013,
706,Gelson Martins,2013-2014,Portugal -19 ans
707,Gelson Martins,2014-2015,Portugal - 20 ans
708,Gelson Martins,2015-2016,Portugal espoirs
709,Gelson Martins,2016,Portugal olympique
710,Gelson Martins,2016-,Portugal
711,Jean Lucas,2006-2013,Nova Iguaçu FC
712,Jean Lucas,2013-2015,
713,Jean Lucas,2015-2017,CR Flamengo
714,Jean Lucas,2018-2019,CR Flamengo
715,Jean Lucas,2019,Santos FC
716,Jean Lucas,2019-2021,Olympique lyonnais
717,Jean Lucas,2021,Stade brestois
718,Jean Lucas,2021-,AS Monaco
719,Jean Lucas,2019-,Brésil olympique
720,Chrislain Matsima,2014-2017,RCFF Colombes
721,Chrislain Matsima,2017-2020,AS Monaco
722,Chrislain Matsima,2020-,AS Monaco
723,Chrislain Matsima,2022-2023,FC Lorient
724,Chrislain Matsima,2018,France -16 ans
725,Chrislain Matsima,2018-2019,France -17 ans
726,Chrislain Matsima,2019-2020,France -18 ans
727,Chrislain Matsima,2021-,France -20 ans
728,Myron Boadu,-2013,SC Buitenveldert
729,Myron Boadu,2013-2018,AZ Alkmaar
730,Myron Boadu,2018-2021,AZ Alkmaar
731,Myron Boadu,2021-,AS Monaco
732,Myron Boadu,2015-2016,Pays-Bas -15 ans
733,Myron Boadu,2016,Pays-Bas -16 ans
734,Myron Boadu,2016-2017,Pays-Bas -17 ans
735,Myron Boadu,2018,Pays-Bas -19 ans
736,Myron Boadu,2019-,Pays-Bas espoirs
737,Myron Boadu,2019-,Pays-Bas
738,Sofiane Diop,2006-2014,Tours FC
739,Sofiane Diop,2013-2015,Pôle espoirs Châteauroux
740,Sofiane Diop,2015-2018,Stade rennais
741,Sofiane Diop,2018-2022,AS Monaco
742,Sofiane Diop,2019-2020,FC Sochaux-Montbéliard
743,Sofiane Diop,2022-,OGC Nice
744,Sofiane Diop,2018,France -18 ans
745,Sofiane Diop,2018-2019,France -19 ans
746,Sofiane Diop,2019,France -20 ans
747,Sofiane Diop,2021-,France espoirs
748,Thomas Didillon,2013-2018,FC Metz
749,Thomas Didillon,2014-2015,RFC Seraing
750,Thomas Didillon,2018-2020,RSC Anderlecht
751,Thomas Didillon,2020,KRC Genk
752,Thomas Didillon,2020-,Cercle Bruges
753,Thomas Didillon,2022-2023,AS Monaco
754,Thomas Didillon,2011,France -16 ans
755,Thomas Didillon,2012,France -18 ans
756,Thomas Didillon,2013,France -19 ans
757,Thomas Didillon,2015,France -20 ans
758,Thomas Didillon,2016,France espoirs
759,Félix Lemaréchal,2015-2017,Tours FC
760,Félix Lemaréchal,2018-2019,Girondins de Bordeaux
761,Félix Lemaréchal,2019-2021,AS Monaco
762,Félix Lemaréchal,2021-,AS Monaco
763,Félix Lemaréchal,2023,Stade brestois 29
764,Félix Lemaréchal,2019,France -16 ans
765,Félix Lemaréchal,2019,France -17 ans
766,Jonathan David,2018,La Gantoise
767,Jonathan David,2018-2020,La Gantoise
768,Jonathan David,2020-,LOSC Lille
769,Jonathan David,2017,Canada -17 ans
770,Jonathan David,2018,Canada -23 ans
771,Jonathan David,2018-,Canada
772,Angel Gomes,2006-2017,Manchester United
773,Angel Gomes,2017-2020,Manchester United
774,Angel Gomes,2020-,LOSC Lille
775,Angel Gomes,2020-2021,Boavista FC
776,Angel Gomes,2016-2017,Angleterre -17 ans
777,Angel Gomes,2017,Angleterre -18 ans
778,Angel Gomes,2018-2019,Angleterre -19 ans
779,Angel Gomes,2019-2021,Angleterre -20 ans
780,Angel Gomes,2021-2023,Angleterre espoirs
781,Benjamin André,1996-2006,Stade raphaëlois
782,Benjamin André,2006-2008,AC Ajaccio
783,Benjamin André,2008-2014,AC Ajaccio
784,Benjamin André,2014-2019,Stade rennais FC
785,Benjamin André,2019-,LOSC Lille
786,Benjamin André,2010-2011,France espoirs
787,Lucas Chevalier,2010-2014,
788,Lucas Chevalier,2014-2021,LOSC Lille
789,Lucas Chevalier,2021-,LOSC Lille
790,Lucas Chevalier,2021-2022,Valenciennes FC
791,Lucas Chevalier,2017,France -16 ans
792,Lucas Chevalier,2018-2019,France -18 ans
793,Lucas Chevalier,2021,France -20 ans
794,Lucas Chevalier,2022-,France espoirs
795,Jonathan Bamba,2015-2018,AS Saint-Étienne
796,Jonathan Bamba,2016,Paris FC
797,Jonathan Bamba,2016-2017,Saint-Trond
798,Jonathan Bamba,2017,Angers SCO
799,Jonathan Bamba,2018-2023,LOSC Lille
800,Jonathan Bamba,2011,France -16 ans
801,Jonathan Bamba,2013,France -18 ans
802,Jonathan Bamba,2015,France -20 ans
803,Jonathan Bamba,2017-2019,France espoirs
804,Jonathan Bamba,2023-,Côte d’Ivoire
805,José Fonte,2002-2004,Sporting CP B
806,José Fonte,2004-2005,FC Felgueiras
807,José Fonte,2005,Vitória Setúbal
808,José Fonte,2006-2007,Benfica Lisbonne
809,José Fonte,2006,FC Paços de Ferreira
810,José Fonte,2006-2007,Estrela Amadora
811,José Fonte,2008-2010,Crystal Palace
812,José Fonte,2010-2017,Southampton FC
813,José Fonte,2017-2018,West Ham United
814,José Fonte,2018,Dalian Yifang
815,José Fonte,2018-2023,LOSC Lille
816,José Fonte,2006,Portugal espoirs
817,José Fonte,2014-,Portugal
818,Bafodé Diakité,2013-2018,Toulouse FC
819,Bafodé Diakité,2018-2022,Toulouse FC
820,Bafodé Diakité,2022-,LOSC Lille
821,Bafodé Diakité,2016-2017,France -16 ans
822,Bafodé Diakité,2018-2019,France -18 ans
823,Bafodé Diakité,2019-2019,France -19 ans
824,Bafodé Diakité,2020-,France espoirs
825,Rémy Cabella,1995-1998,GFCO Ajaccio
826,Rémy Cabella,1998-2000,
827,Rémy Cabella,2000-2004,GFCO Ajaccio
828,Rémy Cabella,2004-2010,Montpellier HSC
829,Rémy Cabella,2009-2014,Montpellier HSC
830,Rémy Cabella,2010-2011,AC Arles-Avignon
831,Rémy Cabella,2014-2016,Newcastle United
832,Rémy Cabella,2015-2016,Olympique de Marseille
833,Rémy Cabella,2016-2018,Olympique de Marseille
834,Rémy Cabella,2017-2018,AS Saint-Étienne
835,Rémy Cabella,2018-2019,AS Saint-Étienne
836,Rémy Cabella,2019-2022,FK Krasnodar
837,Rémy Cabella,2022,Montpellier HSC
838,Rémy Cabella,2022-,LOSC Lille
839,Rémy Cabella,2011-2012,France espoirs
840,Rémy Cabella,2014,France
841,Rémy Cabella,2009-,Corse
842,Tiago Djaló,2008-2012,
843,Tiago Djaló,2012-2013,
844,Tiago Djaló,2013-2019,Sporting Portugal
845,Tiago Djaló,2019,Milan AC
846,Tiago Djaló,2019-,LOSC Lille
847,Tiago Djaló,2016-2017,Portugal -17 ans
848,Tiago Djaló,2018,Portugal -18 ans
849,Tiago Djaló,2018,Portugal -19 ans
850,Tiago Djaló,2019-,Portugal espoirs
851,Ismaily,2007-2008,
852,Ismaily,2008-2009,
853,Ismaily,2008,São Bento
854,Ismaily,2009-2010,GD Estoril-Praia
855,Ismaily,2010-2012,SC Olhanense
856,Ismaily,2012-2013,Sporting Braga
857,Ismaily,2013-2022,Chakhtar Donetsk
858,Ismaily,2022-,LOSC Lille
859,André Gomes,2005-2008,FC Porto
860,André Gomes,2008-2009,
861,André Gomes,2009-2011,Boavista FC
862,André Gomes,2011-2012,Benfica Lisbonne
863,André Gomes,2012-2014,Benfica Lisbonne B
864,André Gomes,2012-2015,Benfica Lisbonne
865,André Gomes,2014-2015,Valence CF
866,André Gomes,2015-2016,Valence CF
867,André Gomes,2016-2019,FC Barcelone
868,André Gomes,2018-2019,Everton FC
869,André Gomes,2019-,Everton FC
870,André Gomes,2022-2023,LOSC Lille
871,André Gomes,2010,Portugal -17 ans
872,André Gomes,2011,Portugal -18 ans
873,André Gomes,2012,Portugal -19 ans
874,André Gomes,2012-2013,Portugal -20 ans
875,André Gomes,2013-2014,Portugal espoirs
876,André Gomes,2014-,Portugal
877,Timothy Weah,2010-2013,
878,Timothy Weah,2013-2014,New York Red Bulls
879,Timothy Weah,2014-2018,Paris Saint-Germain
880,Timothy Weah,2018-2019,Paris Saint-Germain
881,Timothy Weah,2019,Celtic FC
882,Timothy Weah,2019-2023,LOSC Lille
883,Timothy Weah,2023-,Juventus FC
884,Timothy Weah,2015,
885,Timothy Weah,2015-2017,États-Unis -17 ans
886,Timothy Weah,2019,États-Unis -20 ans
887,Timothy Weah,2019-,États-Unis -23 ans
888,Timothy Weah,2018-,États-Unis
889,Alexsandro Ribeiro,2019-2020,
890,Alexsandro Ribeiro,2020-2021,Amora FC
891,Alexsandro Ribeiro,2021-2022,GD Chaves
892,Alexsandro Ribeiro,2022-,LOSC Lille
893,Edon Zhegrova,,KF Flamurtari
894,Edon Zhegrova,2007-2015,FC Pristina
895,Edon Zhegrova,2015,Standard de Liège
896,Edon Zhegrova,2015-2017,Saint-Trond VV
897,Edon Zhegrova,2017-2020,KRC Genk
898,Edon Zhegrova,2019-2020,FC Bâle
899,Edon Zhegrova,2020-2022,FC Bâle
900,Edon Zhegrova,2022-,LOSC Lille
901,Edon Zhegrova,2018-,Kosovo
902,Adam Ounas,2001-2011,Tours FC
903,Adam Ounas,2011-2012,LB Châteauroux
904,Adam Ounas,2013-2015,Girondins de Bordeaux
905,Adam Ounas,2015-2017,Girondins de Bordeaux
906,Adam Ounas,2017-2022,SSC Naples
907,Adam Ounas,2019-2020,OGC Nice
908,Adam Ounas,2020,Cagliari Calcio
909,Adam Ounas,2021,FC Crotone
910,Adam Ounas,2022-,LOSC Lille
911,Adam Ounas,2015,France -20 ans
912,Adam Ounas,2017-,Algérie
913,Gabriel Gudmundsson,-2016,Halmstads BK
914,Gabriel Gudmundsson,2016-2019,Halmstads BK
915,Gabriel Gudmundsson,2019-2021,FC Groningue
916,Gabriel Gudmundsson,2021-,LOSC Lille
917,Gabriel Gudmundsson,2016,Suède -17 ans
918,Gabriel Gudmundsson,2016-2017,Suède -18 ans
919,Gabriel Gudmundsson,2017,Suède -19 ans
920,Gabriel Gudmundsson,2018,Suède -20 ans
921,Gabriel Gudmundsson,2019,Suède espoirs
922,Gabriel Gudmundsson,2022-,Suède
923,Leny Yoro,2012-2017,
924,Leny Yoro,2017-2022,LOSC Lille
925,Leny Yoro,2022-,LOSC Lille
926,Leny Yoro,2021,France -17 ans
927,Leny Yoro,2022,France -18 ans
928,Leny Yoro,2023-,France -19 ans
929,Leonardo César Jardim,2012-2013,Grêmio FBPA
930,Leonardo César Jardim,2014-2019,Grêmio FBPA
931,Leonardo César Jardim,2018-2019,Rio Ave FC
932,Leonardo César Jardim,2019-2023,LOSC Lille
933,Leonardo César Jardim,2020-2021,Boavista FC
934,Leonardo César Jardim,2023-,CR Vasco da Gama
935,Leonardo César Jardim,2015-2016,Brésil -20 ans
936,Mohamed Lamine Bayo,2004-2017,Clermont Foot
937,Mohamed Lamine Bayo,2017-2022,Clermont Foot
938,Mohamed Lamine Bayo,2019-2020,USL Dunkerque
939,Mohamed Lamine Bayo,2022-,LOSC Lille
940,Mohamed Lamine Bayo,2021-,Guinée
941,Akim Zedadka,,Avignon Foot 84
942,Akim Zedadka,-2014,FC Istres
943,Akim Zedadka,2014-2015,FC Istres
944,Akim Zedadka,2015-2017,RC Lens
945,Akim Zedadka,2016-2017,RC Lens
946,Akim Zedadka,2018-2019,Marignane Gignac FC
947,Akim Zedadka,2019-2022,Clermont Foot
948,Akim Zedadka,2022-,LOSC Lille
949,Akim Zedadka,2023,AJ Auxerre
950,Akim Zedadka,2022-,Algérie
951,Carlos Baleba,2022-,LOSC Lille
952,Yusuf Yaz?c?,2015-2019,Trabzonspor
953,Yusuf Yaz?c?,2019-,LOSC Lille
954,Yusuf Yaz?c?,2022,CSKA Moscou
955,Yusuf Yaz?c?,2022-2023,Trabzonspor
956,Yusuf Yaz?c?,2016,Turquie -19 ans
957,Yusuf Yaz?c?,2016-2017,Turquie espoirs
958,Yusuf Yaz?c?,2017-,Turquie
959,Alan Virginius,2017-2018,Entente SSG
960,Alan Virginius,2018-2020,FC Sochaux-Montbéliard
961,Alan Virginius,2020-2022,FC Sochaux-Montbéliard
962,Alan Virginius,2022-,LOSC Lille
963,Alan Virginius,2019,France -16 ans
964,Alan Virginius,2019,France -17 ans
965,Alan Virginius,2021-,France -19 ans
966,Jonas Martin,1997-2000,
967,Jonas Martin,2000-2004,Nîmes Olympique
968,Jonas Martin,2004-2010,Montpellier HSC
969,Jonas Martin,2010-2016,Montpellier HSC
970,Jonas Martin,2011-2012,Amiens SC
971,Jonas Martin,2016-2017,Betis Séville
972,Jonas Martin,2017-2019,RC Strasbourg
973,Jonas Martin,2019-2022,Stade rennais FC
974,Jonas Martin,2022-,LOSC Lille
975,Jonas Martin,2009,France -19 ans
976,Benoît Costil,2005-2009,SM Caen
977,Benoît Costil,2008-2009,Vannes OC
978,Benoît Costil,2009-2011,CS Sedan Ardennes
979,Benoît Costil,2011-2017,Stade rennais FC
980,Benoît Costil,2017-2022,Girondins de Bordeaux
981,Benoît Costil,2022-2023,AJ Auxerre
982,Benoît Costil,2023,LOSC Lille
983,Benoît Costil,2004-2005,France -17 ans
984,Benoît Costil,2005-2006,France -18 ans
985,Benoît Costil,2006-2007,France -19 ans
986,Benoît Costil,2007-2008,France -20 ans
987,Benoît Costil,2008-2009,France espoirs
988,Benoît Costil,2016-,France
989,Adam Jakubech,2015-2017,FC Spartak Trnava
990,Adam Jakubech,2017-2023,Lille OSC
991,Adam Jakubech,2019-2021,KV Courtrai
992,Adam Jakubech,2014-2016,Slovaquie -17 ans
993,Adam Jakubech,2015-2016,Slovaquie -19 ans
994,Adam Jakubech,2017-,Slovaquie
995,Isaac Lihadji,2014-2019,Olympique de Marseille
996,Isaac Lihadji,2019-2020,Olympique de Marseille
997,Isaac Lihadji,2020-2023,LOSC Lille
998,Isaac Lihadji,2023-,Sunderland AFC
999,Isaac Lihadji,2017,France -16 ans
1000,Isaac Lihadji,2018-2019,France -17 ans
1001,Isaac Lihadji,2019-2020,France -18 ans
1002,Isaac Lihadji,2020-,France -19 ans
1003,Isaac Lihadji,2020-,France espoirs
1004,Arthur Theate,2005-2009,RA Melen-Micheroux
1005,Arthur Theate,2009-2011,KAS Eupen
1006,Arthur Theate,2011-2014,KRC Genk
1007,Arthur Theate,2014-2017,Standard de Liège
1008,Arthur Theate,2017-2019,KRC Genk
1009,Arthur Theate,2019-2020,Standard de Liège
1010,Arthur Theate,2020-2022,KV Ostende
1011,Arthur Theate,2021-2022,Bologne FC
1012,Arthur Theate,2022-,Stade rennais FC
1013,Arthur Theate,2015,Belgique -15 ans
1014,Arthur Theate,2015,Belgique -16 ans
1015,Arthur Theate,2017,Belgique -17 ans
1016,Arthur Theate,2017-2018,Belgique -18 ans
1017,Arthur Theate,2018-2019,Belgique -19 ans
1018,Arthur Theate,2021-,Belgique espoirs
1019,Arthur Theate,2021-,Belgique
1020,Benjamin Bourigeaud,2002-2005,
1021,Benjamin Bourigeaud,2005-2013,RC Lens
1022,Benjamin Bourigeaud,2013-2017,RC Lens
1023,Benjamin Bourigeaud,2017-,Stade rennais FC
1024,Benjamin Bourigeaud,2014,France -20 ans
1025,Steve Mandanda,1994-2000,ALM Évreux
1026,Steve Mandanda,2000-2004,Le Havre AC
1027,Steve Mandanda,2004-2008,Le Havre AC
1028,Steve Mandanda,2007-2016,Olympique de Marseille
1029,Steve Mandanda,2016-2017,Crystal Palace
1030,Steve Mandanda,2017-2022,Olympique de Marseille
1031,Steve Mandanda,2022-,Stade rennais FC
1032,Steve Mandanda,2004,France -19 ans
1033,Steve Mandanda,2004-2006,France espoirs
1034,Steve Mandanda,2008,France A'
1035,Steve Mandanda,2008-2022,France
1036,Amine Gouiri,2007-2011,
1037,Amine Gouiri,2011-2013,
1038,Amine Gouiri,2013-2017,Olympique lyonnais
1039,Amine Gouiri,2017-2020,Olympique lyonnais
1040,Amine Gouiri,2020-2022,OGC Nice
1041,Amine Gouiri,2022-,Stade rennais FC
1042,Amine Gouiri,2016,France -16 ans
1043,Amine Gouiri,2016-2017,France -17 ans
1044,Amine Gouiri,2017-2018,France -18 ans
1045,Amine Gouiri,2018,France -19 ans
1046,Amine Gouiri,2019,France -20 ans
1047,Amine Gouiri,2019-,France espoirs
1048,Hamari Traoré,2011-2012,USFAS Bamako
1049,Hamari Traoré,2012-2013,Paris FC
1050,Hamari Traoré,2013-2015,Lierse SK
1051,Hamari Traoré,2015-2017,Stade de Reims
1052,Hamari Traoré,2017-2023,Stade rennais FC
1053,Hamari Traoré,2023-,Real Sociedad
1054,Hamari Traoré,2015-,Mali
1055,Adrien Truffert,2010-2015,FC Chartres
1056,Adrien Truffert,2015-2020,Stade rennais FC
1057,Adrien Truffert,2020-,Stade rennais FC
1058,Adrien Truffert,2019,France -18 ans
1059,Adrien Truffert,2019,France -19 ans
1060,Adrien Truffert,2020-,France espoirs
1061,Adrien Truffert,2022-,France
1062,Arnaud Kalimuendo,2008-2012,
1063,Arnaud Kalimuendo,2012-2020,Paris Saint-Germain
1064,Arnaud Kalimuendo,2020-2022,Paris Saint-Germain
1065,Arnaud Kalimuendo,2020-2022,RC Lens
1066,Arnaud Kalimuendo,2022-,Stade rennais FC
1067,Arnaud Kalimuendo,2018,France -16 ans
1068,Arnaud Kalimuendo,2019,France -17 ans
1069,Arnaud Kalimuendo,2019,France -18 ans
1070,Arnaud Kalimuendo,2020-,France espoirs
1071,Flavien Tait,2008-2010,Rodez AF
1072,Flavien Tait,2010-2012,LB Châteauroux
1073,Flavien Tait,2012-2016,LB Châteauroux
1074,Flavien Tait,2016-2019,Angers SCO
1075,Flavien Tait,2019-,Stade rennais FC
1076,Baptiste Santamaria,2007-2011,Bourges 18
1077,Baptiste Santamaria,2011-2013,Tours FC
1078,Baptiste Santamaria,2013-2016,Tours FC
1079,Baptiste Santamaria,2016-2020,Angers SCO
1080,Baptiste Santamaria,2020-2021,SC Fribourg
1081,Baptiste Santamaria,2021-,Stade rennais FC
