 
,Player,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
Wahbi Khazri,tn TUN,FWMF,32-094,25,18,1521,16.9,4,1,5,4,0,0,5,1,3.8,3.8,1.2,5.1,38,42,87,0.24,0.06,0.30,0.24,0.30,0.23,0.07,0.30,0.23,0.30,Matches,2677a1de
Maxime Estève,fr FRA,DF,20-352,20,15,1376,15.3,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.6,9,37,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,1a066e69
Benjamin Lecomte,fr FRA,GK,32-017,15,15,1350,15.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2fa2a875
Nicolas Cozza,fr FRA,DF,24-125,17,14,1277,14.2,2,1,3,2,0,0,3,0,1.4,1.4,0.8,2.1,20,48,34,0.14,0.07,0.21,0.14,0.21,0.10,0.05,0.15,0.10,0.15,Matches,8f325097
Jonas Omlin,ch SUI,GK,29-123,14,14,1166,13.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c631f952
Issiaga Sylla,gn GUI,DF,29-132,13,13,1125,12.5,1,3,4,1,0,0,0,0,0.7,0.7,2.0,2.7,27,66,57,0.08,0.24,0.32,0.08,0.32,0.06,0.16,0.21,0.06,0.21,Matches,b99bec05
Léo Leroy,fr FRA,MF,23-088,24,13,1090,12.1,0,0,0,0,0,0,6,0,0.9,0.9,0.8,1.8,12,51,22,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.15,0.08,0.15,Matches,fcc84a07
Stephy Mavididi,eng ENG,FW,24-347,22,12,1096,12.2,4,2,6,4,0,0,1,1,3.2,3.2,1.0,4.2,24,17,79,0.33,0.16,0.49,0.33,0.49,0.26,0.08,0.34,0.26,0.34,Matches,30144daa
Boubakar Kouyaté,ml MLI,DF,26-028,12,12,991,11.0,0,0,0,0,0,0,4,0,0.5,0.5,0.1,0.6,3,26,1,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.05,0.05,0.05,Matches,562a4799
Enzo Tchato,cm CMR,DF,20-171,19,10,995,11.1,1,1,2,1,0,0,1,0,0.4,0.4,1.1,1.5,22,32,56,0.09,0.09,0.18,0.09,0.18,0.03,0.10,0.13,0.03,0.13,Matches,7f783431
Mamadou Sakho,fr FRA,DF,33-089,14,7,758,8.4,1,0,1,1,0,0,2,0,0.5,0.5,0.2,0.7,0,32,2,0.12,0.00,0.12,0.12,0.12,0.06,0.02,0.08,0.06,0.08,Matches,87935cf3
Khalil Fayad,fr FRA,MF,18-338,23,6,647,7.2,0,2,2,0,0,0,1,1,0.5,0.5,1.0,1.5,7,19,11,0.00,0.28,0.28,0.00,0.28,0.06,0.15,0.21,0.06,0.21,Matches,faf00ab8
Valère Germain,fr FRA,FWMF,33-026,29,5,677,7.5,2,0,2,2,0,0,1,1,2.5,2.5,0.6,3.1,5,15,42,0.27,0.00,0.27,0.27,0.27,0.33,0.07,0.41,0.33,0.41,Matches,ea0ff634
Théo Sainte-Luce,fr FRA,DF,24-205,6,5,381,4.2,1,1,2,1,0,0,0,0,0.4,0.4,0.6,1.0,3,13,29,0.24,0.24,0.47,0.24,0.47,0.10,0.15,0.25,0.10,0.25,Matches,93c942fb
Bingourou Kamara,sn SEN,GK,26-204,5,4,408,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3814120d
Arnaud Souquet,fr FRA,DFFW,31-090,12,3,361,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,5,10,14,0.00,0.00,0.00,0.00,0.00,0.01,0.13,0.15,0.01,0.15,Matches,4e0afc5d
